,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
Total Average Content Size,-0.8649858093200667,-0.8838782058284823,0.35235891977786704,0.24041737304982946,0.3984102880057898,0.453316940021032,0.4467620796048106,0.5132450970162484,0.6651328733663687,0.7384627542476738,0.6695936761958197,-0.33246334046764187,-0.601474243501468,-0.601474243501468,-0.811956208806679,-0.8902784117261391,0.2427828017652186,0.546267882154778,0.3339940615937576,-0.43923294200822943,1.0,-0.9067203585868457,-0.778481899961008,-0.7977451016740278,-0.8829707411411601,,-0.7644681084154311,0.37445343496198563,-0.7294983383694813,-0.5527026843767917,0.7844319452573132
CPU,0.8610098282151061,0.8711459833832722,-0.3990518118754998,-0.08080839575291401,-0.23568453317313645,-0.2904086516252778,-0.2898654396258379,-0.3792816182045048,-0.5794793637133111,-0.7538620140225545,-0.7606314811118374,0.14804499480606803,0.4773927653104714,0.4773927653104714,0.9448835781847584,0.9372689751199238,-0.05012852726353955,-0.3392881428781409,-0.2200699406024746,0.48707062001399876,-0.9067203585868457,1.0,0.85452343892311,0.9347383118514636,0.9879719539864018,,0.7470184861909198,-0.4177877228350979,0.7056125299780787,0.5309620114401463,-0.6944961123867989
Memory,0.83184975881422,0.7932460055272895,-0.3043769967545772,-0.2575015877962493,-0.2884926117247222,-0.28711461813388545,-0.2480948319244868,-0.21460331980666253,-0.3146820516708869,-0.4358740263298791,-0.41710283893443884,0.4364782076880038,0.7170035650919102,0.7170035650919102,0.8044626545767659,0.8152065733068662,-0.21336986764230326,-0.30162948654992827,-0.3416477052860296,0.7256372649746337,-0.778481899961008,0.85452343892311,1.0,0.7928892879855135,0.8698787188466932,,0.7111786756669847,-0.3871222984291574,0.6732402829735968,0.6590501022904308,-0.5278175007355151
Cache Hits,0.6843971749010219,0.6676958084434259,-0.4314949643033574,0.10288817493448474,-0.030087239737602793,-0.06534175153210305,-0.041914513399271006,-0.12706465232180997,-0.35550516397511567,-0.6281720453810856,-0.7424161800339719,-0.06797250728241523,0.33844119857043664,0.33844119857043664,0.9994796761521367,0.7978098118271217,0.12663622591105492,-0.0973528486383403,-0.15546169590041348,0.34668612541877086,-0.7977451016740278,0.9347383118514636,0.7928892879855135,1.0,0.9669742224948031,,0.5706018238487383,-0.46829636198943964,0.5181734170433558,0.37975167652548436,-0.5528606844645874
Cache Misses,0.8310547568709441,0.825544660190002,-0.41161528930818686,-0.03614769450683176,-0.1733816389154779,-0.21406871340885242,-0.1987042369021173,-0.2823641796217311,-0.49079225642140484,-0.6958680152112562,-0.7324955920346713,0.1292126139879285,0.48667856146240074,0.48667856146240074,0.9745121087382499,0.9102143240864748,-0.004584476888001971,-0.2552056058375523,-0.23536947986021708,0.4996717156797785,-0.8829707411411601,0.9879719539864018,0.8698787188466932,0.9669742224948031,1.0,,0.7116964366878439,-0.43259043610782166,0.6674296076083239,0.516190739557926,-0.637364937938063
Cache Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Hits/s,0.8590395485609379,0.8649269182117303,-0.23379053208383832,-0.4152518145143132,-0.5202727561406891,-0.5580701092032405,-0.5526080113202951,-0.5557370087528661,-0.6350855280320349,-0.5982295710471526,-0.4645325486896627,0.4402075524061115,0.5791264246063341,0.5791264246063341,0.5898913635013323,0.8077151299526892,-0.37804804139964054,-0.5858280166373562,-0.2635635446498367,0.5874902616588485,-0.7644681084154311,0.7470184861909198,0.7111786756669847,0.5706018238487383,0.7116964366878439,,1.0,-0.2281677703366701,0.990741390004634,0.8829972711169605,-0.6895883015191632
Cache Misses/s,-0.22723742582336498,-0.26627558611866115,0.39191650608398587,0.2123612236471543,0.17608702194416942,0.13303969124182033,0.10123504923223228,0.05691821659831171,0.08590899094599008,0.24997444653370268,0.3080297102644868,0.009916498728587962,-0.19583504508860555,-0.19583504508860555,-0.46546271936941763,-0.29537081008723376,0.2156829604217747,0.18718566145139445,-0.10978316284323475,-0.12137255643264225,0.37445343496198563,-0.4177877228350979,-0.3871222984291574,-0.46829636198943964,-0.43259043610782166,,-0.2281677703366701,1.0,-0.09387377057448235,-0.25446465935620227,0.34076748214326
Cache Requests/s,0.8467309797701855,0.8473076383926152,-0.18441504468450204,-0.39632995789985115,-0.5092616117166502,-0.554137851580553,-0.5530180516924028,-0.5624832180066082,-0.6398511267384056,-0.5788660318034344,-0.4334225522246159,0.45331197457512756,0.566893829756204,0.566893829756204,0.5382932021082989,0.7847482441083433,-0.35650076859396934,-0.5729413860591895,-0.28481708323186583,0.5838181620101085,-0.7294983383694813,0.7056125299780787,0.6732402829735968,0.5181734170433558,0.6674296076083239,,0.990741390004634,-0.09387377057448235,1.0,0.8674325352658301,-0.6576266432277355
Cache Hit Ratio,0.7032665508536465,0.6763185467635001,-0.22465487793694217,-0.6083847473032274,-0.5619596055904696,-0.5184309936378876,-0.46962141236929733,-0.34958323745954106,-0.30613849658958064,-0.24000714776868343,-0.09749795706713302,0.5988892795139983,0.6909797371624951,0.6909797371624951,0.39709979538841345,0.5869585626249694,-0.5628793588744113,-0.5239906857094394,-0.31327032324553494,0.6968843639653232,-0.5527026843767917,0.5309620114401463,0.6590501022904308,0.37975167652548436,0.516190739557926,,0.8829972711169605,-0.25446465935620227,0.8674325352658301,1.0,-0.4977665883575754
