Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory,Elapsed Time (s)
44,1787064234,45,,Aggregated,42.5,0.0,270.0,360.0,480.0,600.0,1100.0,1500.0,2000.0,2900.0,3600.0,5000.0,5000.0,1069,0,270,426.7138454930262,13.349990000278922,5022.231752998778,407.1599625818522,2026-08-18 14:44:03,1593.0,29.0,172.0,24.0,49.0
45,1787064235,45,,Aggregated,43.4,0.0,270.0,370.0,480.0,580.0,1100.0,1500.0,1900.0,2800.0,3600.0,5000.0,5000.0,1114,0,270,422.06567971099406,13.349990000278922,5022.231752998778,399.9398563734291,2026-08-18 14:44:04,1593.0,29.0,172.0,24.0,50.0
46,1787064236,45,,Aggregated,44.4,0.0,270.0,360.0,480.0,560.0,1100.0,1500.0,1900.0,2800.0,3600.0,5000.0,5000.0,1160,0,270,416.8933837707274,13.349990000278922,5022.231752998778,394.6034482758621,2026-08-18 14:44:05,1593.0,29.0,172.0,24.0,51.0
47,1787064237,45,,Aggregated,44.9,0.0,270.0,360.0,470.0,550.0,1100.0,1500.0,1800.0,2700.0,3600.0,5000.0,5000.0,1203,0,270,412.9951383757736,13.349990000278922,5022.231752998778,390.9177057356608,2026-08-18 14:44:06,1593.0,29.0,172.0,24.0,52.0
48,1787064238,45,,Aggregated,44.7,0.0,280.0,370.0,470.0,550.0,1100.0,1500.0,1800.0,2700.0,3600.0,5000.0,5000.0,1245,0,280,412.8797628940286,13.349990000278922,5022.231752998778,386.1004016064257,2026-08-18 14:44:08,1593.0,29.0,172.0,24.0,54.0
49,1787064239,45,,Aggregated,45.5,0.0,280.0,380.0,480.0,550.0,1000.0,1500.0,1800.0,2700.0,3600.0,5000.0,5000.0,1292,0,280,412.44661065021154,13.349990000278922,5022.231752998778,381.85835913312695,2026-08-18 14:44:09,1650.0,29.0,212.0,24.0,55.0
50,1787064240,45,,Aggregated,44.9,0.0,280.0,380.0,480.0,540.0,980.0,1500.0,1800.0,2600.0,3600.0,5000.0,5000.0,1335,0,280,412.4608172157863,13.349990000278922,5022.231752998778,377.9310861423221,2026-08-18 14:44:10,1650.0,29.0,212.0,24.0,56.0
51,1787064241,45,,Aggregated,44.7,0.0,290.0,380.0,470.0,540.0,950.0,1400.0,1800.0,2600.0,3600.0,5000.0,5000.0,1385,0,290,409.45982928886303,13.349990000278922,5022.231752998778,372.6938628158845,2026-08-18 14:44:11,1650.0,29.0,212.0,24.0,57.0
52,1787064242,45,,Aggregated,44.4,0.0,280.0,380.0,460.0,530.0,930.0,1400.0,1800.0,2500.0,3600.0,5000.0,5000.0,1429,0,280,403.58995571733794,13.349990000278922,5022.231752998778,369.1147655703289,2026-08-18 14:44:12,1650.0,29.0,212.0,24.0,58.0
53,1787064243,45,,Aggregated,44.5,0.0,290.0,380.0,470.0,540.0,910.0,1400.0,1800.0,2500.0,3600.0,5000.0,5000.0,1472,0,290,405.1151561712486,13.349990000278922,5022.231752998778,366.15692934782606,2026-08-18 14:44:13,1650.0,29.0,212.0,24.0,59.0
54,1787064244,45,,Aggregated,45.4,0.0,290.0,390.0,470.0,540.0,900.0,1300.0,1700.0,2500.0,3600.0,5000.0,5000.0,1514,0,290,405.8683959597655,13.349990000278922,5022.231752998778,362.5739762219287,2026-08-18 14:44:14,1650.0,29.0,212.0,24.0,60.0
